trial,seed,train_acc,test_acc,num_images,maxiter,vary_dataset,vary_split,optimizer
1,10000,0.6,0.8,50,50,True,True,COBYLA
2,10001,0.7714285714285715,0.4666666666666667,50,50,True,True,COBYLA
3,10002,0.8571428571428571,0.7333333333333333,50,50,True,True,COBYLA
4,10003,0.6285714285714286,0.4666666666666667,50,50,True,True,COBYLA
5,10004,0.6,0.5333333333333333,50,50,True,True,COBYLA
6,10005,0.6857142857142857,0.6666666666666666,50,50,True,True,COBYLA
7,10006,0.5142857142857142,0.5333333333333333,50,50,True,True,COBYLA
8,10007,0.6571428571428571,0.4,50,50,True,True,COBYLA
9,10008,0.8285714285714286,0.7333333333333333,50,50,True,True,COBYLA
10,10009,0.5428571428571428,0.3333333333333333,50,50,True,True,COBYLA
