trial,seed,train_acc,test_acc,num_images,maxiter,vary_dataset,vary_split,optimizer
1,10000,0.6,0.7333333333333333,50,50,True,True,COBYLA
2,10001,0.7142857142857143,0.4666666666666667,50,50,True,True,COBYLA
3,10002,0.8571428571428571,0.7333333333333333,50,50,True,True,COBYLA
4,10003,0.7142857142857143,0.4666666666666667,50,50,True,True,COBYLA
5,10004,0.7142857142857143,0.6666666666666666,50,50,True,True,COBYLA
6,10005,0.7428571428571429,0.4666666666666667,50,50,True,True,COBYLA
7,10006,0.5714285714285714,0.5333333333333333,50,50,True,True,COBYLA
8,10007,0.5142857142857142,0.5333333333333333,50,50,True,True,COBYLA
9,10008,0.8571428571428571,0.6,50,50,True,True,COBYLA
10,10009,0.5714285714285714,0.26666666666666666,50,50,True,True,COBYLA
11,10010,0.6,0.6,50,50,True,True,COBYLA
12,10011,0.5428571428571428,0.4,50,50,True,True,COBYLA
13,10012,0.6,0.6,50,50,True,True,COBYLA
14,10013,0.5142857142857142,0.26666666666666666,50,50,True,True,COBYLA
15,10014,0.7714285714285715,0.6666666666666666,50,50,True,True,COBYLA
16,10015,0.8571428571428571,0.8666666666666667,50,50,True,True,COBYLA
17,10016,0.5714285714285714,0.5333333333333333,50,50,True,True,COBYLA
18,10017,0.9142857142857143,0.6666666666666666,50,50,True,True,COBYLA
19,10018,0.7714285714285715,0.6666666666666666,50,50,True,True,COBYLA
20,10019,0.4857142857142857,0.7333333333333333,50,50,True,True,COBYLA
21,10020,0.7428571428571429,0.6,50,50,True,True,COBYLA
22,10021,0.8,0.6666666666666666,50,50,True,True,COBYLA
23,10022,0.7142857142857143,0.8666666666666667,50,50,True,True,COBYLA
24,10023,0.6,0.4666666666666667,50,50,True,True,COBYLA
25,10024,0.7428571428571429,0.7333333333333333,50,50,True,True,COBYLA
26,10025,0.4857142857142857,0.4666666666666667,50,50,True,True,COBYLA
27,10026,0.8857142857142857,0.7333333333333333,50,50,True,True,COBYLA
28,10027,0.6857142857142857,0.6,50,50,True,True,COBYLA
29,10028,0.6,0.5333333333333333,50,50,True,True,COBYLA
30,10029,0.8,0.4666666666666667,50,50,True,True,COBYLA
31,10030,0.7428571428571429,0.6,50,50,True,True,COBYLA
32,10031,0.6571428571428571,0.9333333333333333,50,50,True,True,COBYLA
33,10032,0.7428571428571429,0.6,50,50,True,True,COBYLA
34,10033,0.6857142857142857,0.6666666666666666,50,50,True,True,COBYLA
35,10034,0.5142857142857142,0.5333333333333333,50,50,True,True,COBYLA
36,10035,0.7142857142857143,0.6666666666666666,50,50,True,True,COBYLA
37,10036,0.7428571428571429,0.9333333333333333,50,50,True,True,COBYLA
38,10037,0.7142857142857143,0.6,50,50,True,True,COBYLA
39,10038,0.8,0.6666666666666666,50,50,True,True,COBYLA
40,10039,0.8,0.7333333333333333,50,50,True,True,COBYLA
41,10040,0.8571428571428571,0.7333333333333333,50,50,True,True,COBYLA
42,10041,0.6,0.5333333333333333,50,50,True,True,COBYLA
43,10042,0.37142857142857144,0.3333333333333333,50,50,True,True,COBYLA
44,10043,0.7428571428571429,0.7333333333333333,50,50,True,True,COBYLA
45,10044,0.7142857142857143,0.4666666666666667,50,50,True,True,COBYLA
46,10045,0.6285714285714286,0.7333333333333333,50,50,True,True,COBYLA
47,10046,0.6571428571428571,0.6,50,50,True,True,COBYLA
48,10047,0.6571428571428571,0.5333333333333333,50,50,True,True,COBYLA
49,10048,0.6571428571428571,0.6,50,50,True,True,COBYLA
50,10049,0.6285714285714286,0.6666666666666666,50,50,True,True,COBYLA
